District,Major Crops,Mixed Crop Suggestions
Srikakulam,"Paddy, Sugarcane, Groundnut","Paddy: Fish, Green gram; Sugarcane: Onion, Garlic, Potato; Groundnut: Millets, Red gram, Castor"
Vizianagaram,"Paddy, Maize, Bengal Gram","Paddy: Fish, Green gram; Maize: Beans, Cowpea, Groundnut; Bengal Gram: Jowar, Sorghum"
Visakhapatnam,"Paddy, Ragi (Millet), Redgram","Paddy: Fish, Green gram; Ragi (Millet): Pulses, Cowpea, Horse gram; Redgram: Cotton, Bajra, Groundnut"
East Godavari,"Paddy, Coconut, Sugarcane","Paddy: Fish, Green gram; Coconut: Pineapple, Banana, Ginger; Sugarcane: Onion, Garlic, Potato"
West Godavari,"Paddy, Tobacco, Maize","Paddy: Fish, Green gram; Tobacco: Onion, Maize; Maize: Beans, Cowpea, Groundnut"
Krishna,"Paddy, Sugarcane, Maize","Paddy: Fish, Green gram; Sugarcane: Onion, Garlic, Potato; Maize: Beans, Cowpea, Groundnut"
Guntur,"Cotton, Chillies, Redgram","Cotton: Sorghum, Red gram, Cowpea; Chillies: Onion, Coriander, Tomato; Redgram: Cotton, Bajra, Groundnut"
Prakasam,"Groundnut, Tobacco, Bajra (Pearl Millet)","Groundnut: Millets, Red gram, Castor; Tobacco: Onion, Maize; Bajra (Pearl Millet): Red gram, Green gram"
Nellore,"Paddy, Groundnut, Black Gram","Paddy: Fish, Green gram; Groundnut: Millets, Red gram, Castor; Black Gram: Maize, Bajra"
Chittoor,"Tomato, Groundnut, Mango (horticulture)","Tomato: Coriander, Onion; Groundnut: Millets, Red gram, Castor; Mango (horticulture): Legumes, Banana"
Kadapa (YSR),"Onion, Redgram, Sunflower","Onion: Coriander, Chillies; Redgram: Cotton, Bajra, Groundnut; Sunflower: Green gram, Black gram"
Kurnool,"Jowar, Bengal Gram, Cotton","Jowar: Pigeon pea, Chickpea; Bengal Gram: Jowar, Sorghum; Cotton: Sorghum, Red gram, Cowpea"
Anantapur,"Groundnut, Sunflower, Castor","Groundnut: Millets, Red gram, Castor; Sunflower: Green gram, Black gram; Castor: Pulses, Sunflower"
Nandyal,"Paddy, Cotton, Redgram","Paddy: Fish, Green gram; Cotton: Sorghum, Red gram, Cowpea; Redgram: Cotton, Bajra, Groundnut"
Bapatla,"Paddy, Maize, Black Gram","Paddy: Fish, Green gram; Maize: Beans, Cowpea, Groundnut; Black Gram: Maize, Bajra"
Tirupati,"Paddy, Groundnut, Chillies","Paddy: Fish, Green gram; Groundnut: Millets, Red gram, Castor; Chillies: Onion, Coriander, Tomato"
Annamayya,"Redgram, Groundnut, Ragi","Redgram: Cotton, Bajra, Groundnut; Groundnut: Millets, Red gram, Castor; Ragi: Not Available"
Sri Satya Sai,"Groundnut, Jowar, Sunflower","Groundnut: Millets, Red gram, Castor; Jowar: Pigeon pea, Chickpea; Sunflower: Green gram, Black gram"
Palnadu,"Cotton, Redgram, Chillies","Cotton: Sorghum, Red gram, Cowpea; Redgram: Cotton, Bajra, Groundnut; Chillies: Onion, Coriander, Tomato"
